,algorithm,support,confidence,cosine
0,mocsoarm,0.005154639175257732,1.0,1.0
1,mocsoarm,0.8195876288659794,1.0,0.905310791312011
2,mopso,0.9072164948453608,1.0,0.9524791309238018
3,nsgaii,0.020618556701030927,1.0,1.0
4,nsgaii,0.5103092783505154,1.0,0.7143593481928514
5,nsgaii,0.8092783505154639,0.9401197604790419,0.8980817517134552
6,nsgaii,0.865979381443299,0.9180327868852459,0.9308372098372173
7,hmofaarm,0.005154639175257732,1.0,1.0
8,hmofaarm,0.9175257731958762,1.0,0.957875656437659
9,mosaarm,0.9072164948453608,1.0,0.9524791309238018
10,mowsaarm,0.8608247422680413,1.0,0.927806414220144
11,mocatsoarm,0.4690721649484536,1.0,0.6848884324825859
12,mocatsoarm,0.8092783505154639,0.9401197604790419,0.8980817517134552
13,motlboarm,0.005154639175257732,1.0,1.0
14,motlboarm,0.26804123711340205,1.0,0.5330600392680743
15,motlboarm,0.7164948453608248,0.8742138364779874,0.8504750887649581
16,motlboarm,0.7216494845360825,0.9655172413793103,0.850204171116233
17,motlboarm,0.7783505154639175,0.8483146067415731,0.9090778937418826
18,mofpaarm,0.005154639175257732,1.0,1.0
19,mofpaarm,0.9175257731958762,1.0,0.957875656437659
20,moaloarm,0.865979381443299,1.0,0.9305801316615884
21,modaarm,0.005154639175257732,1.0,1.0
22,modaarm,0.9175257731958762,1.0,0.957875656437659
23,mohsbotsarm,0.020618556701030927,1.0,1.0
24,mohsbotsarm,0.9432989690721649,1.0,0.9712357947852648
25,modearm,0.005154639175257732,1.0,1.0
26,modearm,0.865979381443299,1.0,0.9305801316615884
27,nshsdearm,0.5876288659793815,1.0,0.7665695441245899
28,nshsdearm,0.8041237113402062,0.9285714285714286,0.9021109540154888
29,nshsdearm,0.8041237113402062,0.9454545454545455,0.8977534471462035
30,mogeaarm,0.020618556701030927,1.0,1.0
31,mogeaarm,0.25773195876288657,1.0,0.5471756551645828
32,mogeaarm,0.7628865979381443,0.9548387096774192,0.8693107757134001
33,mogeaarm,0.8041237113402062,0.9454545454545455,0.8977534471462035
34,mogsaarm,0.9432989690721649,1.0,0.9712357947852648
35,mossoarm,0.020618556701030927,1.0,1.0
36,mossoarm,0.9175257731958762,1.0,0.957875656437659
37,mowoaarm,0.865979381443299,1.0,0.9305801316615884
38,mososarm,0.788659793814433,1.0,0.8880651968264678
39,mososarm,0.865979381443299,0.9438202247191012,0.9308372098372173
40,mocssarm,0.005154639175257732,1.0,1.0
41,mocssarm,0.788659793814433,1.0,0.8880651968264678
42,mocssarm,0.8092783505154639,0.9401197604790419,0.8980817517134552
