,algorithm,support,confidence,cosine
0,mohsbotsarm,0.03333333333333333,1.0,0.9128709291752769
1,mohsbotsarm,0.24666666666666667,1.0,0.8602325267042626
2,mohsbotsarm,0.34,1.0,0.58309518948453
3,mowoaarm,0.03333333333333333,0.8333333333333333,0.9128709291752769
4,mowoaarm,0.03333333333333333,1.0,0.674199862463242
5,mowoaarm,0.14,1.0,0.6480740698407861
6,mowoaarm,0.16666666666666666,0.9615384615384615,0.6933752452815364
7,mowoaarm,0.22,0.8918918918918919,0.8472686738391098
8,mowoaarm,0.2733333333333333,0.82,0.9055385138137417
9,mowoaarm,0.34,1.0,0.58309518948453
