,algorithm,support,confidence,cosine
0,mocsoarm,0.0029542097488921715,0.5,0.0384331221012044
1,mocsoarm,0.005908419497784343,0.4137931034482759,0.049445558349183266
2,mocsoarm,0.01772525849335303,0.33333333333333337,0.10054610782029112
3,mocsoarm,0.11225997045790251,0.2585034013605442,0.17035135514577512
4,mocsoarm,0.12456917774495323,0.23083941605839417,0.1695743973880471
5,mopso,0.0004923682914820286,0.5,0.35355339059327373
6,mopso,0.0014771048744460858,0.125,0.1336306209562122
7,mopso,0.005908419497784343,0.024390243902439025,0.07808688094430304
8,mopso,0.005908419497784343,0.16666666666666666,0.031380512790011215
9,mopso,0.011816838995568686,0.011816838995568686,0.1087052850397288
10,nsgaii,0.011816838995568686,1.0,0.1087052850397288
11,nsgaii,0.0827178729689808,0.13614262560777957,0.2020959863093126
12,hmofaarm,0.9753815854258986,1.0,0.9876140872961962
13,mosaarm,0.0014771048744460858,1.0,0.0384331221012044
14,mosaarm,0.008862629246676515,0.15000000000000002,0.1552647508520297
15,mosaarm,0.026587887740029542,0.1323529411764706,0.05932103456669256
16,mosaarm,0.059084194977843424,0.08553100498930863,0.12161094837522628
17,mowsaarm,0.0014771048744460858,0.25,0.06063390625908324
18,mowsaarm,0.007877892663712457,0.017505470459518602,0.044102746777041506
19,mowsaarm,0.011816838995568686,0.011816838995568686,0.1087052850397288
20,mocatsoarm,0.0019694731659281144,1.0,0.04437874678185622
21,mocatsoarm,0.01772525849335303,0.16822429906542055,0.07005482205152114
22,mocatsoarm,0.018217626784835055,0.07660455486542442,0.046801634487936734
23,mocatsoarm,0.03545051698670606,0.07258064516129033,0.1555427542095638
24,motlboarm,0.023633677991137372,0.05687203791469195,0.2384785900551493
25,motlboarm,0.026587887740029542,0.057203389830508475,0.11489465726733719
26,mofpaarm,0.0014771048744460858,0.05,0.223606797749979
27,mofpaarm,0.007877892663712457,0.06153846153846154,0.04888602220003379
28,mofpaarm,0.026587887740029542,0.057203389830508475,0.12818252965503166
29,moaloarm,0.3879862136878385,1.0,0.6228853937024359
30,modaarm,0.011816838995568686,1.0,0.1087052850397288
31,modaarm,0.014771048744460856,0.051724137931034475,0.1695158759052026
32,mohsbotsarm,0.00012309207287050715,0.022727272727272728,0.08703882797784891
33,mohsbotsarm,0.005908419497784343,1.0,0.0768662442024088
34,mohsbotsarm,0.006893156080748399,0.06999999999999999,0.061394061351492044
35,modearm,0.04234367306745446,1.0,0.20577578348157116
36,modearm,0.04529788281634663,0.4423076923076923,0.2110002947624324
37,nshsdearm,0.01772525849335303,0.5,0.09414153837003364
38,nshsdearm,0.03151157065484983,0.380952380952381,0.10956462872895716
39,nshsdearm,0.03545051698670606,0.0943643512450852,0.217214584276799
40,nshsdearm,0.053175775480059084,0.16640986132511557,0.17409009424970925
41,mogeaarm,0.003938946331856229,0.25,0.031380512790011215
42,mogeaarm,0.013293943870014771,0.06428571428571428,0.06821575702091433
43,mogsaarm,0.0009847365829640572,0.6666666666666666,0.025622081400802934
44,mogsaarm,0.026587887740029542,0.026587887740029542,0.09414153837003364
45,mossoarm,0.18365337272279667,1.0,0.42854798182093523
46,mowoaarm,0.48842934515017233,1.0,0.6988772031982246
47,mososarm,0.011816838995568686,0.4285714285714286,0.07116431387661541
48,mocssarm,0.015755785327424915,1.0,0.1841149235796647
49,mocssarm,0.053175775480059084,0.3333333333333333,0.31066822384709863
50,mocssarm,0.0568685376661743,0.20121951219512194,0.24746862650215523
