,algorithm,support,confidence,cosine
0,mocsoarm,0.026490066225165563,1.0,0.1627576917542319
1,mocsoarm,0.046357615894039736,0.14285714285714288,0.08137884587711595
2,mopso,0.019867549668874173,0.23076923076923078,0.16984155512168936
3,nsgaii,0.006622516556291391,0.006622516556291391,0.08137884587711595
4,nsgaii,0.019867549668874173,0.02777777777777778,0.02349204928674698
5,hmofaarm,0.4966887417218543,1.0,0.7047614786024093
6,mosaarm,0.052980132450331126,1.0,0.2301741350593744
7,mowsaarm,0.006622516556291391,1.0,0.08137884587711595
8,mowsaarm,0.2847682119205298,0.7818181818181819,0.47184421760081297
9,mocatsoarm,0.013245033112582781,0.15384615384615385,0.32025630761017426
10,mocatsoarm,0.039735099337748346,0.039735099337748346,0.039735099337748346
11,motlboarm,0.006622516556291391,0.013333333333333334,0.03086066999241838
12,mofpaarm,0.006622516556291391,0.19999999999999998,0.11952286093343936
13,mofpaarm,0.059602649006622516,0.059602649006622516,0.059602649006622516
14,moaloarm,0.8079470198675497,1.0,0.8988587318747867
15,modaarm,0.8079470198675497,1.0,0.8988587318747867
16,mohsbotsarm,0.019867549668874173,1.0,0.15309310892394862
17,modearm,0.09271523178807947,1.0,0.30449175980324894
18,nshsdearm,0.006622516556291391,1.0,0.08137884587711595
19,nshsdearm,0.013245033112582781,0.09999999999999999,0.10259783520851541
20,mogeaarm,0.8079470198675497,1.0,0.8988587318747867
21,mogsaarm,0.026490066225165563,0.36363636363636365,0.17229219690157924
22,mossoarm,0.006622516556291391,0.028571428571428574,0.023904572186687872
23,mowoaarm,0.847682119205298,1.0,0.9206965402374976
24,mososarm,0.019867549668874173,1.0,0.14095229572048187
25,mocssarm,0.006622516556291391,1.0,0.08137884587711595
